,,,,
,ถ,ฐ,,
,ด,ฎ,,
,ท,ธ,ฒ,ฑ
,ส,ษ,ศ,ซ
,น,ณ,,
,ย,ญ,,
,ช,ฌ,ฉ,
,ต,ฏ,,
,ค,ฆ,ต,
,ข,ฃ,,
,ล,ฬ,,
,ุ,ู,,
,้,๊,๋,
,ห,ฮ,,
,,,,
